kraj_index,byt_index,datum,cena,pdb,fdbi70,fdbi85,fdbi100
9,3,2009-05-01,987310,3.23,0.27,0.27,0.29
10,3,2009-05-01,3168501,9.88,0.82,0.84,0.88
11,3,2009-05-01,2243606,7.34,0.61,0.62,0.65
12,3,2009-05-01,1697409,5.67,0.47,0.48,0.51
13,3,2009-05-01,2353375,7.24,0.60,0.61,0.65
14,0,2009-05-01,1205567,3.40,0.28,0.29,0.30
14,1,2009-05-01,1581258,4.46,0.37,0.38,0.40
14,2,2009-05-01,1908027,5.39,0.45,0.46,0.48
14,3,2009-05-01,2441843,6.89,0.57,0.59,0.61
0,4,2009-05-01,4021214,10.18,0.85,0.86,0.91
1,4,2009-05-01,1592995,4.92,0.41,0.42,0.44
2,4,2009-05-01,1650466,5.24,0.44,0.45,0.47
3,4,2009-05-01,1719942,5.41,0.45,0.46,0.48
4,4,2009-05-01,1362932,4.11,0.34,0.35,0.37
5,4,2009-05-01,1379089,4.55,0.38,0.39,0.41
6,4,2009-05-01,1303631,4.16,0.35,0.35,0.37
7,4,2009-05-01,1936377,5.86,0.49,0.50,0.52
8,4,2009-05-01,1991908,5.41,0.45,0.46,0.48
9,4,2009-05-01,854194,2.79,0.23,0.24,0.25
10,4,2009-05-01,2176325,6.79,0.57,0.58,0.60
11,4,2009-05-01,1626273,5.32,0.44,0.45,0.47
12,4,2009-05-01,1215591,4.06,0.34,0.34,0.36
13,4,2009-05-01,1559929,4.80,0.40,0.41,0.43
14,4,2009-05-01,2057593,5.81,0.48,0.49,0.52
0,0,2009-06-01,2370255,5.92,0.49,0.50,0.53
1,0,2009-06-01,1234130,3.79,0.32,0.32,0.34
2,0,2009-06-01,1116777,3.53,0.29,0.30,0.32
3,0,2009-06-01,1157428,3.61,0.30,0.31,0.32
4,0,2009-06-01,894104,2.68,0.22,0.23,0.24
5,0,2009-06-01,859208,2.81,0.23,0.24,0.25
6,0,2009-06-01,896307,2.84,0.24,0.24,0.25
7,0,2009-06-01,1238341,3.74,0.31,0.32,0.33
8,0,2009-06-01,1375017,3.69,0.31,0.31,0.33
9,0,2009-06-01,522530,1.70,0.14,0.14,0.15
10,0,2009-06-01,1343666,4.15,0.35,0.35,0.37
11,0,2009-06-01,1040305,3.38,0.28,0.29,0.30
12,0,2009-06-01,764146,2.54,0.21,0.22,0.23
13,0,2009-06-01,994059,3.03,0.25,0.26,0.27
0,1,2009-06-01,3494917,8.74,0.73,0.74,0.78
1,1,2009-06-01,1496597,4.60,0.38,0.39,0.41
2,1,2009-06-01,1497664,4.73,0.40,0.40,0.42
3,1,2009-06-01,1651223,5.15,0.43,0.44,0.46
4,1,2009-06-01,1283336,3.84,0.32,0.33,0.34
5,1,2009-06-01,1157201,3.79,0.32,0.32,0.34
6,1,2009-06-01,1287250,4.08,0.34,0.35,0.36
7,1,2009-06-01,1792664,5.41,0.45,0.46,0.48
8,1,2009-06-01,1744507,4.69,0.39,0.40,0.42
9,1,2009-06-01,740087,2.41,0.20,0.20,0.21
10,1,2009-06-01,1823810,5.63,0.47,0.48,0.50
11,1,2009-06-01,1414445,4.60,0.38,0.39,0.41
12,1,2009-06-01,1059254,3.52,0.29,0.30,0.31
13,1,2009-06-01,1463122,4.46,0.37,0.38,0.40
0,2,2009-06-01,4682134,11.70,0.97,0.99,1.04
1,2,2009-06-01,1619945,4.98,0.41,0.42,0.44
2,2,2009-06-01,1743290,5.51,0.46,0.47,0.49
3,2,2009-06-01,1876034,5.85,0.49,0.50,0.52
4,2,2009-06-01,1517821,4.55,0.38,0.39,0.41
5,2,2009-06-01,1680258,5.51,0.46,0.47,0.49
6,2,2009-06-01,1332119,4.22,0.35,0.36,0.38
7,2,2009-06-01,2236613,6.75,0.56,0.57,0.60
8,2,2009-06-01,2234656,6.01,0.50,0.51,0.54
9,2,2009-06-01,951456,3.10,0.26,0.26,0.28
